cve_estado,municipio
oax,"San Pedro Ixtlahuaca"
oax,"San Antonio de la Cal"
oax,"San Agustín de las Juntas"
oax,"San Pablo Huixtepec"
oax,"Ánimas Trujano"
oax,"San Jacinto Tlacotepec"
oax,"San Raymundo Jalpan"
oax,"Trinidad Zaachila"
oax,"Santa María Coyotepec"
oax,"San Bartolo Coyotepec"
oax,"Santa Inés Yatzeche"
oax,"Ciénega de Zimatlán"
oax,"San Antonio Huitepec"
oax,"Villa de Zaachila"
oax,"San Sebastián Tutla"
oax,"San Miguel Peras"
oax,"San Pablo Cuatro Venados"
oax,"Santa Inés del Monte"
oax,"Santa Gertrudis"
oax,"San Antonino el Alto"
oax,"Magdalena Mixtepec"
oax,"Santa Catarina Quiané"
oax,"Ayoquezco de Aldama"
oax,"Santa Ana Tlapacoyan"
oax,"Santa Cruz Zenzontepec"
oax,"San Francisco Cahuacuá"
oax,"San Mateo Yucutindoo"
oax,"Santiago Textitlán"
oax,"Santiago Amoltepec"
oax,"Santa María Zaniza"
oax,"Santo Domingo Teojomulco"
oax,"Cuilápam de Guerrero"
oax,"Villa Sola de Vega"
oax,"Santa María Lachixío"
oax,"San Vicente Lachixío"
oax,"San Lorenzo Texmelúcan"
oax,"Santa María Sola"
oax,"San Francisco Sola"
oax,"San Ildefonso Sola"
oax,"Santiago Minas"
oax,"Heroica Ciudad de Ejutla de Crespo"
oax,"San Martín Tilcajete"
oax,"Santo Tomás Jalieza"
oax,"San Juan Chilateca"
oax,"Ocotlán de Morelos"
oax,"Santa Ana Zegache"
oax,"Santiago Apóstol"
oax,"San Antonino Castillo Velasco"
oax,"Asunción Ocotlán"
oax,"San Pedro Mártir"
oax,"San Dionisio Ocotlán"
oax,"Magdalena Ocotlán"
oax,"San Miguel Tilquiápam"
oax,"Santa Catarina Minas"
oax,"San Baltazar Chichicápam"
oax,"San Pedro Apóstol"
oax,"Santa Lucía Ocotlán"
oax,"San Jerónimo Taviche"
oax,"San Andrés Zabache"
oax,"San José del Progreso"
oax,Yaxe
oax,"San Pedro Taviche"
oax,"San Martín de los Cansecos"
oax,"San Martín Lachilá"
oax,"La Pe"
oax,"La Compañía"
oax,"Coatecas Altas"
oax,"San Juan Lachigalla"
oax,"San Agustín Amatengo"
oax,Taniche
oax,"San Miguel Ejutla"
oax,Yogana
oax,"San Vicente Coatlán"
oax,"Santiago Pinotepa Nacional"
oax,"San Juan Cacahuatepec"
oax,"San Juan Bautista Lo de Soto"
oax,"Mártires de Tacubaya"
oax,"San Sebastián Ixcapa"
oax,"San Antonio Tepetlapa"
oax,"Santa María Cortijo"
oax,"Santiago Llano Grande"
oax,"San Miguel Tlacamama"
oax,"Santiago Tapextla"
oax,"San José Estancia Grande"
oax,"Santo Domingo Armenta"
oax,"Santiago Jamiltepec"
oax,"San Pedro Atoyac"
oax,"San Juan Colorado"
oax,"Santiago Ixtayutla"
oax,"San Pedro Jicayán"
oax,"Pinotepa de Don Luis"
oax,"San Lorenzo"
oax,"San Agustín Chayuco"
oax,"San Andrés Huaxpaltepec"
